ba_code,model,reference,days,skill,skill_low,skill_high,dm_stat,dm_p,flag
CISO,seasonal_naive,operator,366,-0.12760180083931028,-0.31567196391653135,0.0676340415219842,1.223224122666564,0.22124505683349094,operator series has a growing midday bias (data_profile 5.1)
ERCO,seasonal_naive,operator,366,-2.3796567717241923,-2.951468878920465,-1.8840951081288055,8.483804168755876,2.1794845296442454e-17,""
FPL,seasonal_naive,operator,358,-1.6449905754855756,-1.9515003648077958,-1.3999739432876848,11.910151708124681,1.047864368394655e-32,""
ISNE,seasonal_naive,operator,366,-3.441647770359687,-4.071465179615902,-2.872337515483176,9.643616100550775,5.231200664254874e-22,""
MISO,seasonal_naive,operator,366,-1.2513973714418025,-1.6316498412539249,-0.9220889269880653,6.292121668039868,3.1315587117066373e-10,""
NYIS,seasonal_naive,operator,366,-2.2518837155023625,-2.8662647737404257,-1.6939121849408896,7.12963881369357,1.0063264432889417e-12,""
PJM,seasonal_naive,operator,364,-1.4610952712547869,-1.8677438909995778,-1.1265071394474646,7.545727580296598,4.497693418807257e-14,""
SOCO,seasonal_naive,operator,366,-4.481269420530617,-5.693776085222099,-3.543146679112291,8.557861364225957,1.1498051312063752e-17,""
SWPP,seasonal_naive,operator,366,-2.1678478759137567,-2.7874217203300193,-1.664391423630608,8.399013310864836,4.5024578167248873e-17,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,seasonal_naive,operator,366,-3.6125539906455852,-4.806812095056406,-2.9338763963493415,7.918893786311547,2.3963293641880812e-15,""
CISO,ridge,operator,366,0.27483739772311666,0.1949262640408408,0.3527101918446746,-5.912379555772821,3.3720040642019024e-9,operator series has a growing midday bias (data_profile 5.1)
ERCO,ridge,operator,366,-1.2525082724601981,-1.5640561463278164,-0.9552054065631457,7.169320056365722,7.53711639550304e-13,""
FPL,ridge,operator,358,-0.7674741183379963,-0.9798631260319357,-0.6153512557390171,8.578548675483233,9.607765843979346e-18,""
ISNE,ridge,operator,366,-1.8473915845860582,-2.0827963908904112,-1.642250679141213,15.012502600689007,6.080938184499668e-51,""
MISO,ridge,operator,366,-0.3423792050716774,-0.5211509581545554,-0.1902185139911224,3.9524883506583093,0.00007734269551236365,""
NYIS,ridge,operator,366,-1.026656474989191,-1.2840931536626077,-0.779628388167477,8.237569393636454,1.7574439146379723e-16,""
PJM,ridge,operator,364,-0.46890032544047044,-0.6418476869937334,-0.3385526635458029,5.900340658017114,3.627518047207347e-9,""
SOCO,ridge,operator,366,-2.667773494192326,-3.423216334043367,-2.1060484787532454,8.3832238567906,5.149740329869751e-17,""
SWPP,ridge,operator,366,-0.9907116089856491,-1.2718075359403789,-0.7484097868170942,7.7245483788607165,1.122506033238728e-14,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,ridge,operator,366,-1.9765764893953524,-2.6054496808950325,-1.5729140289439365,7.009946182577843,2.3840981176830386e-12,""
CISO,lgbm_global,operator,366,0.4332261068438279,0.37776476392272684,0.485181159189315,-11.839556582981054,2.4373818211210215e-32,operator series has a growing midday bias (data_profile 5.1)
ERCO,lgbm_global,operator,366,-0.8407805432971487,-1.1864943850383225,-0.5497121628240293,4.4845382238894596,7.307200689701571e-6,""
FPL,lgbm_global,operator,358,-0.4875367589637698,-0.6505116676163913,-0.3616039359801584,7.339022931377532,2.151587502511767e-13,""
ISNE,lgbm_global,operator,366,-1.3493355942334206,-1.5486913022474924,-1.1517135122476387,13.331936320792208,1.5092876668698064e-40,""
MISO,lgbm_global,operator,366,0.049130955827453304,-0.17734395600514463,0.23965750721341672,-0.4359876433968311,0.6628456948021704,""
NYIS,lgbm_global,operator,366,-0.5661278053343428,-0.755431172941137,-0.3764473576794112,5.728423362839719,1.013683286463199e-8,""
PJM,lgbm_global,operator,364,0.025445731480681077,-0.17805722816842812,0.17415675175353612,-0.259781894595751,0.7950320176197405,""
SOCO,lgbm_global,operator,366,-1.6529748967531441,-2.3099725560419055,-1.1497634164540254,5.210263325255549,1.8857279586716803e-7,""
SWPP,lgbm_global,operator,366,-0.5379554111168772,-0.8976459599491468,-0.30029121026336175,3.3072771707094097,0.0009420762843851186,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,lgbm_global,operator,366,-1.0394905380224548,-1.6138713651391292,-0.6845979311232258,4.0252809211034775,0.000056907339122774366,""
CISO,seasonal_naive+cqr,operator,366,-0.12760180083931028,-0.2994094572890726,0.07529797505144445,1.223224122666564,0.22124505683349094,operator series has a growing midday bias (data_profile 5.1)
ERCO,seasonal_naive+cqr,operator,366,-2.3796567717241923,-2.8796796134161506,-1.9029164988740899,8.483804168755876,2.1794845296442454e-17,""
FPL,seasonal_naive+cqr,operator,358,-1.6449905754855756,-1.9777418698740776,-1.3951057745577151,11.910151708124681,1.047864368394655e-32,""
ISNE,seasonal_naive+cqr,operator,366,-3.441647770359687,-4.088627587300225,-2.858220270314818,9.643616100550775,5.231200664254874e-22,""
MISO,seasonal_naive+cqr,operator,366,-1.2513973714418025,-1.6750728065545932,-0.9146693042970265,6.292121668039868,3.1315587117066373e-10,""
NYIS,seasonal_naive+cqr,operator,366,-2.2518837155023625,-2.801803588165477,-1.7296385357773028,7.12963881369357,1.0063264432889417e-12,""
PJM,seasonal_naive+cqr,operator,364,-1.4610952712547869,-1.8501265808902159,-1.1537783753728215,7.545727580296598,4.497693418807257e-14,""
SOCO,seasonal_naive+cqr,operator,366,-4.481269420530617,-5.550348448320936,-3.5347256034216783,8.557861364225957,1.1498051312063752e-17,""
SWPP,seasonal_naive+cqr,operator,366,-2.1678478759137567,-2.7906227323437123,-1.6906544568576929,8.399013310864836,4.5024578167248873e-17,operator series changes definition in 2025-05 (data_profile 5.2)
