ba_code,model,reference,days,skill,skill_low,skill_high,dm_stat,dm_p,flag
CISO,nhits,operator,366,-1160.6639529568527,-3678.315469343819,0.2437987746355107,0.9903143873233967,0.32202047647897963,operator series has a growing midday bias (data_profile 5.1)
ERCO,nhits,operator,366,-12067.64908656095,-40215.39541807587,-0.923593738666333,0.9905576833459887,0.3219016094126342,""
FPL,nhits,operator,359,-1.1597010475708123,-1.3638633291756985,-1.0231724762734307,13.623294207280969,2.911334324461426e-42,""
ISNE,nhits,operator,366,-2.009199318304819,-2.260396600148913,-1.7383377274692475,13.504749214056273,1.466121487044879e-41,""
MISO,nhits,operator,366,-33171.903582188075,-119743.00874221043,-0.0763688448748276,1.020670813606808,0.3074104269058145,""
NYIS,nhits,operator,366,-47690.67843289576,-150481.63709941335,-0.7589651990824812,1.0144162965161605,0.3103841513804203,""
PJM,nhits,operator,364,-44508.62753780121,-148070.4756642346,-0.22016400128430424,1.0206418028804363,0.30742417643570935,""
SOCO,nhits,operator,366,-22343.79177382664,-71015.95896057808,-2.015015170774149,0.9905734083564848,0.32189392763435515,""
SWPP,nhits,operator,366,-18650.076519530096,-64854.748291330274,-0.4931966558864524,0.9905048771894419,0.3219274064672682,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,nhits,operator,366,-28388.352034465166,-93968.27566695069,-1.380499676472224,0.990525163456614,0.32191749598702385,""
CISO,nhits,operator_debiased,366,-2674.321415417856,-8365.953374940078,-0.7919797636271406,0.9908000002696401,0.3217832491750598,""
ERCO,nhits,operator_debiased,366,-12352.511500635239,-38337.53622127228,-0.98559154087627,0.9905600328687894,0.32190046164660974,""
FPL,nhits,operator_debiased,359,-2.0964456174091053,-2.413446089973332,-1.885236582239394,16.82920863672403,1.490813123405521e-63,""
ISNE,nhits,operator_debiased,366,-2.835248512742513,-3.1762317028435354,-2.4840388097382013,14.601955185137346,2.7290505499814155e-48,""
MISO,nhits,operator_debiased,366,-57766.53720210247,-177515.78861500134,-0.9248819606662019,1.02068426752656,0.30740405060690107,""
NYIS,nhits,operator_debiased,366,-71489.17110111551,-231757.94794766986,-1.656281300568847,1.0144231623079696,0.31038087664746233,""
PJM,nhits,operator_debiased,364,-77297.33033958223,-262244.57683651004,-1.1073028751307006,1.0206515605735866,0.3074195517665381,""
SOCO,nhits,operator_debiased,366,-43860.11019717649,-142035.1179098416,-4.839815861631735,0.9905952766237012,0.32188324503084653,""
SWPP,nhits,operator_debiased,366,-18818.248946481428,-60220.25698898371,-0.5128660505339322,0.9905057899378582,0.32192696055664977,""
TVA,nhits,operator_debiased,366,-27922.148119733312,-106409.94200889116,-1.3193952032164453,0.9905245006732143,0.3219178197744361,""
