ba_code,model,days,peak_ape,peak_hour_miss_pct
CISO,nhits,366,10769.120180871263,8.743169398907105
CISO,nhits+cqr,366,10769.120180871263,8.743169398907105
CISO,operator,366,1.7795113957862276,7.377049180327869
CISO,operator_debiased,366,1.8731668163857116,4.644808743169399
ERCO,nhits,366,36487.16982250055,28.688524590163933
ERCO,nhits+cqr,366,36487.16982250055,28.688524590163933
ERCO,operator,366,2.52392398401287,15.300546448087433
ERCO,operator_debiased,366,2.427905741054036,14.754098360655737
FPL,nhits,357,7.549562324218412,33.33333333333333
FPL,nhits+cqr,357,7.549562324218412,33.33333333333333
FPL,operator,357,2.75684151848091,20.448179271708682
FPL,operator_debiased,357,2.703632790579182,17.086834733893557
ISNE,nhits,366,6.258155278084541,24.59016393442623
ISNE,nhits+cqr,366,6.258155278084541,24.59016393442623
ISNE,operator,366,1.4788597246248643,2.459016393442623
ISNE,operator_debiased,366,1.455125429835969,3.551912568306011
MISO,nhits,366,124482.68388384157,27.86885245901639
MISO,nhits+cqr,366,124482.68388384159,27.86885245901639
MISO,operator,366,2.95743280070415,9.289617486338798
MISO,operator_debiased,366,1.8160900790641465,9.836065573770492
NYIS,nhits,365,149056.117665178,24.10958904109589
NYIS,nhits+cqr,365,149056.11766517803,24.10958904109589
NYIS,operator,365,2.6865161359540064,5.7534246575342465
NYIS,operator_debiased,365,1.7531620276290296,5.47945205479452
PJM,nhits,364,182982.33305712364,21.428571428571427
PJM,nhits+cqr,364,182982.33305712364,21.428571428571427
PJM,operator,364,1.7192138205905338,17.582417582417584
PJM,operator_debiased,364,1.8912830138461376,11.263736263736265
SOCO,nhits,366,41104.12617819163,27.86885245901639
SOCO,nhits+cqr,366,41104.126178191626,27.86885245901639
SOCO,operator,366,0.774697042337127,3.825136612021858
SOCO,operator_debiased,366,0.6530075577043806,4.371584699453552
SWPP,nhits,366,63676.76190397876,30.87431693989071
SWPP,nhits+cqr,366,63676.76190397876,30.87431693989071
SWPP,operator,366,3.027605361913298,15.846994535519126
SWPP,operator_debiased,366,3.0144576865538015,17.48633879781421
TVA,nhits,366,63798.64175364867,33.60655737704918
TVA,nhits+cqr,366,63798.64175364867,33.60655737704918
TVA,operator,366,2.527158766670313,12.841530054644808
TVA,operator_debiased,366,2.6651235232461272,13.661202185792352
