ba_code,model,reference,days,skill,skill_low,skill_high,dm_stat,dm_p,flag
CISO,nhits,operator,366,0.19987880900809385,0.12852078467745998,0.27841938620822754,-4.528890897916099,5.929410391126724e-6,operator series has a growing midday bias (data_profile 5.1)
ERCO,nhits,operator,366,-1.0658069934286,-1.3628709076016203,-0.8105043637834652,6.676207663267587,2.4520445687456057e-11,""
FPL,nhits,operator,359,-1.0841958064601118,-1.2963147923339522,-0.9383091002933712,12.318000212357898,7.246911348054981e-35,""
ISNE,nhits,operator,366,-1.9995221767975337,-2.271724154642454,-1.7434519468653786,14.137166431137622,2.241288256319988e-45,""
MISO,nhits,operator,366,-0.1471126164457497,-0.33274566986172266,-0.021836397048227863,1.9185464408012058,0.05504175938662373,""
NYIS,nhits,operator,366,-0.9445053401460197,-1.1958479176219292,-0.7087195090808305,7.516701993837286,5.617526244360649e-14,""
PJM,nhits,operator,364,-0.24952470282335049,-0.43169067869840794,-0.11799976669077447,2.774625525088893,0.00552653022403483,""
SOCO,nhits,operator,366,-2.341371335041092,-2.9532826879782625,-1.8348457686621977,8.227324649884416,1.9144108075355279e-16,""
SWPP,nhits,operator,366,-0.6666713226763319,-0.9505731196973162,-0.4514994422802647,5.679919932874951,1.3475780899262506e-8,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,nhits,operator,366,-1.6421527334665584,-2.2197296671328988,-1.2637521387744202,6.899203779648878,5.229481095746375e-12,""
CISO,nhits,operator_debiased,366,-0.842685530304816,-0.9954563846802654,-0.7019952686895863,10.976168989893079,4.975804795800159e-28,""
ERCO,nhits,operator_debiased,366,-1.1145672782739782,-1.3743970860731984,-0.8548669168692161,7.08076497994764,1.4336085551433597e-12,""
FPL,nhits,operator_debiased,359,-1.9881908785453088,-2.3166940255704582,-1.768634888043469,15.733936424766723,8.853180171584472e-56,""
ISNE,nhits,operator_debiased,366,-2.822914918770306,-3.163644708038345,-2.4998357129741815,15.236000071976534,2.0398187270043138e-52,""
MISO,nhits,operator_debiased,366,-0.9975903098549341,-1.2281007872770775,-0.8316447310521041,9.279792838202287,1.6980839822690937e-20,""
NYIS,nhits,operator_debiased,366,-1.9148275766739697,-2.3015351708009066,-1.5931077368881006,10.012668950581416,1.3408549474590638e-23,""
PJM,nhits,operator_debiased,364,-1.1700063242335337,-1.508324886058766,-0.9307341282140531,7.421518617213572,1.157849742978106e-13,""
SOCO,nhits,operator_debiased,366,-5.558855317129933,-6.85273863805418,-4.42608674882645,10.012877379968428,1.338032236461667e-23,""
SWPP,nhits,operator_debiased,366,-0.6816993110592635,-0.9307921417335531,-0.4592181095529361,5.909267921721984,3.4363142189827435e-9,""
TVA,nhits,operator_debiased,366,-1.5987638619570514,-2.1777620468444194,-1.2185967952619623,6.744637206978022,1.5340985898438867e-11,""
