ba_code,model,hours,mae,rmse,mape,bias_pct,skill_vs_operator,skill_vs_operator_debiased
CISO,nhits,8782,1216.6633537082241,1697.934278788321,4.838963688197804,-0.555620357825411,0.19987880900809385,-0.842685530304816
CISO,nhits+cqr,8782,1216.6633537082241,1697.934278788321,4.838963688197804,-0.555620357825411,0.19987880900809385,-0.842685530304816
CISO,operator,8782,1520.5988385333637,1953.2741657627844,6.271048829397621,-3.3917958988829144,0.0,-1.3030080330961464
CISO,operator_debiased,8782,660.2664066651483,913.8730983394636,2.665905392043503,-0.13535912247255846,0.5657852748973664,0.0
ERCO,nhits,8784,2603.025934493824,3950.728741770791,4.904654485128453,0.6420440488162084,-1.0658069934286005,-1.1145672782739777
ERCO,nhits+cqr,8784,2603.025934493824,3950.728741770791,4.904654485128453,0.6420440488162084,-1.0658069934286005,-1.1145672782739777
ERCO,operator,8784,1260.0528233151183,1763.1061367781085,2.4179485733696664,0.33849329292057134,0.0,-0.023603504587062174
ERCO,operator_debiased,8784,1230.9969804406282,1704.2394950953292,2.3780647572271274,-0.0667826525153467,0.02305922603946553,0.0
FPL,nhits,8578,1112.7015547357703,1496.1748357146555,6.721231254315571,1.269222078408444,-1.0841958064601118,-1.9881908785453084
FPL,nhits+cqr,8578,1112.7015547357703,1496.1748357146555,6.721231254315571,1.269222078408444,-1.0841958064601118,-1.9881908785453084
FPL,operator,8578,533.8757286080671,688.6785149780018,3.2184986111375915,0.6207257263309678,0.0,-0.4337380726336748
FPL,operator_debiased,8578,372.36629116458863,534.8857081389081,2.1859401754672234,0.09402956876516831,0.30252253247131045,0.0
ISNE,nhits,8784,918.6709373488018,1308.068085470906,7.06619088267712,0.28485472016522523,-1.9995221767975342,-2.8229149187703046
ISNE,nhits+cqr,8784,918.6709373488018,1308.068085470906,7.06619088267712,0.28485472016522523,-1.9995221767975342,-2.8229149187703046
ISNE,operator,8784,306.272427140255,430.4991441245678,2.4857289623100534,-1.5022590458209495,0.0,-0.2745079694166066
ISNE,operator_debiased,8784,240.30640411016665,323.9690062473241,1.9024771413976573,0.010219150053463024,0.215383486022657,0.0
MISO,nhits,8784,2618.114386775672,3668.0946542426727,3.49763720673236,0.353545339490273,-0.1471126164457499,-0.9975903098549344
MISO,nhits+cqr,8784,2618.114386775672,3668.0946542426727,3.49763720673236,0.353545339490273,-0.1471126164457499,-0.9975903098549344
MISO,operator,8784,2282.3516621129324,2747.0858254189416,3.1095531966519734,2.8740481323567435,0.0,-0.7414073223641562
MISO,operator_debiased,8784,1310.636307084309,1732.3934114136239,1.7500382684363311,0.004050123259292559,0.42575181167701326,0.0
NYIS,nhits,8760,886.501760376534,1343.7525397655575,5.011182765185762,0.38579059855657777,-0.9445053401460195,-1.9148275766739697
NYIS,nhits+cqr,8760,886.501760376534,1343.7525397655575,5.011182765185762,0.38579059855657777,-0.9445053401460195,-1.9148275766739697
NYIS,operator,8760,455.90091324200915,560.1964727913359,2.6289873973385443,-2.1926543054616485,0.0,-0.4990072366965499
NYIS,operator_debiased,8760,304.1352316928801,415.5536945709833,1.7445604953643938,0.004841836826242017,0.3328918129816647,0.0
PJM,nhits,8736,4121.911235655621,6137.675963761322,4.310283369949037,-0.04883192693502311,-0.2495247028233507,-1.1700063242335337
PJM,nhits+cqr,8736,4121.911235655621,6137.675963761322,4.310283369949037,-0.04883192693502311,-0.2495247028233507,-1.1700063242335337
PJM,operator,8736,3298.7833104395604,4197.602952197772,3.5855573763082584,-1.4859129401997,0.0,-0.7366654051178967
PJM,operator_debiased,8736,1899.49272941014,2537.406130407762,2.056580268573218,-0.0011310444015231362,0.42418384275230425,0.0
SOCO,nhits,8783,1614.0288227701953,2369.89715660975,5.8305265029546804,0.25567138974186693,-2.341371335041092,-5.558855317129933
SOCO,nhits+cqr,8783,1614.0288227701953,2369.89715660975,5.8305265029546804,0.25567138974186693,-2.341371335041092,-5.558855317129933
SOCO,operator,8783,483.04383468063304,646.9933863573942,1.9142371051130664,-1.6004737370010307,0.0,-0.9629232011261248
SOCO,operator_debiased,8783,246.0839193318984,407.95085415855846,0.9481754017563057,-0.0065645741118389635,0.4905557184171535,0.0
SWPP,nhits,8784,1434.2623173169968,2173.2619667306794,4.270176099943365,0.2340076531090933,-0.6666713226763319,-0.6816993110592635
SWPP,nhits+cqr,8784,1434.2623173169968,2173.2619667306794,4.270176099943365,0.2340076531090933,-0.6666713226763319,-0.6816993110592635
SWPP,operator,8784,860.5549863387978,1294.8971562059564,2.5607749572547918,-0.00679318506135427,0.0,-0.009016767840464013
SWPP,operator_debiased,8784,852.8649015224893,1280.1237916051978,2.5776789066840937,-0.00791043590995079,0.008936192269393128,0.0
TVA,nhits,8784,1201.686496421939,1838.8444286296112,6.184827603527049,0.014833453143430583,-1.6421527334665584,-1.5987638619570514
TVA,nhits+cqr,8784,1201.686496421939,1838.8444286296112,6.184827603527049,0.014833453143430583,-1.6421527334665584,-1.5987638619570514
TVA,operator,8784,454.8134107468124,672.6862419943552,2.3763800202716694,0.9141944715724063,0.0,0.016421787794447473
TVA,operator_debiased,8784,462.4069597139098,665.6453432141592,2.403880442194059,-0.04030402858011844,-0.016695965395190804,0.0
