model,hours,mae,rmse,mape,bias_pct
lgbm_global,87518,1325.598348649591,2269.972336465827,3.9002422618935526,0.9135452272822159
lgbm_global+cqr,87518,1325.598348649591,2269.972336465827,3.9002422618935526,0.9135452272822159
nhits,87518,1773.6893137005566,2985.794086284282,5.260734029240871,0.2814293751250038
nhits+cqr,87518,1773.6893137005566,2985.794086284282,5.260734029240871,0.2814293751250038
operator,87518,1146.3355652551475,1887.5648218100102,3.0562920910063136,-0.5453972380603851
operator_debiased,87518,758.5339980669614,1265.1413617125597,2.0608101721841208,-0.01578823899921919
ridge,87518,1944.3496683648336,3157.62484794158,5.562170550219863,0.624262012440605
ridge+cqr,87518,1944.3496683648336,3157.62484794158,5.562170550219863,0.624262012440605
seasonal_naive,87518,3098.0899472108595,5165.21109925504,8.633777746027153,0.5613494114948231
seasonal_naive+cqr,87518,3098.0899472108595,5165.21109925504,8.633777746027153,0.5613494114948231
