slice,value,model,hours,mape
day_type,holiday,nhits,2880,6.492660648781604
day_type,holiday,nhits+cqr,2880,6.492660648781609
day_type,holiday,operator,2880,3.139659867681044
day_type,holiday,operator_debiased,2880,2.2278338820183117
day_type,weekday,nhits,59555,4.552553483639803
day_type,weekday,nhits+cqr,59555,4.5525534836398025
day_type,weekday,operator,59555,3.039118134221961
day_type,weekday,operator_debiased,59555,1.9740140030500999
day_type,weekend,nhits,25124,5.026178375905512
day_type,weekend,nhits+cqr,25124,5.026178375905518
day_type,weekend,operator,25124,3.08732775088817
day_type,weekend,operator_debiased,25124,2.24850754949476
hour_block,00,nhits,21893,3.8952308636042394
hour_block,00,nhits+cqr,21893,3.8952308636042274
hour_block,00,operator,21893,3.073568310315278
hour_block,00,operator_debiased,21893,1.8015742928719216
hour_block,06,nhits,21893,4.787029480885411
hour_block,06,nhits+cqr,21893,4.787029480885396
hour_block,06,operator,21893,3.083130407747546
hour_block,06,operator_debiased,21893,1.9827222626227934
hour_block,12,nhits,21893,5.632060691198671
hour_block,12,nhits+cqr,21893,5.632060691198664
hour_block,12,operator,21893,3.3403187420043357
hour_block,12,operator_debiased,21893,2.494048693865333
hour_block,18,nhits,21880,4.694719399843969
hour_block,18,nhits+cqr,21880,4.694719399843974
hour_block,18,operator,21880,2.7278208438105427
hour_block,18,operator_debiased,21880,1.9660994817700301
season,autumn,nhits,21716,4.270827979001361
season,autumn,nhits+cqr,21716,4.270827979001367
season,autumn,operator,21716,2.70469978892237
season,autumn,operator_debiased,21716,1.870439325287339
season,spring,nhits,22020,4.622914517431049
season,spring,nhits+cqr,22020,4.622914517431042
season,spring,operator,22020,3.2989076113858022
season,spring,operator_debiased,22020,2.0701818888269745
season,summer,nhits,21985,4.404731297865372
season,summer,nhits+cqr,21985,4.40473129786537
season,summer,operator,21985,3.173819656284971
season,summer,operator_debiased,21985,2.143525014977028
season,winter,nhits,21838,5.711328658920873
season,winter,nhits+cqr,21838,5.711328658920876
season,winter,operator,21838,3.04282864518028
season,winter,operator_debiased,21838,2.1586595004665208
temperature,cold 5%,nhits,4295,7.700573865796666
temperature,cold 5%,nhits+cqr,4295,7.700573865796666
temperature,cold 5%,operator,4295,3.3216878767530735
temperature,cold 5%,operator_debiased,4295,2.3719416898322137
temperature,hot 5%,nhits,4296,4.347689968944639
temperature,hot 5%,nhits+cqr,4296,4.347689968944642
temperature,hot 5%,operator,4296,3.2237012749709804
temperature,hot 5%,operator_debiased,4296,2.162819328410002
temperature,no weather,nhits,5039,6.886493267718278
temperature,no weather,nhits+cqr,5039,6.886493267718278
temperature,no weather,operator,5039,3.3405464262823674
temperature,no weather,operator_debiased,5039,2.478044591950168
temperature,normal,nhits,73929,4.459024340471186
temperature,normal,nhits+cqr,73929,4.459024340471166
temperature,normal,operator,73929,3.011730711437439
temperature,normal,operator_debiased,73929,2.00874137501998
