ba_code,model,reference,days,skill,skill_low,skill_high,dm_stat,dm_p,flag
CISO,seasonal_naive,operator,366,-0.12760180083931028,-0.30042660668171767,0.08260169784337672,1.223224122666564,0.22124505683349094,operator series has a growing midday bias (data_profile 5.1)
ERCO,seasonal_naive,operator,366,-2.3796567717241923,-2.8905908798027125,-1.8928683696737179,8.483804168755876,2.1794845296442454e-17,""
FPL,seasonal_naive,operator,358,-1.6449905754855756,-1.9877058053466032,-1.3870442251403379,11.910151708124681,1.047864368394655e-32,""
ISNE,seasonal_naive,operator,366,-3.441647770359687,-4.092451713465778,-2.8692748840033526,9.643616100550775,5.231200664254874e-22,""
MISO,seasonal_naive,operator,366,-1.2513973714418025,-1.6629965920594292,-0.932047293541179,6.292121668039868,3.1315587117066373e-10,""
NYIS,seasonal_naive,operator,366,-2.2518837155023625,-2.801025683284299,-1.7100852392439425,7.12963881369357,1.0063264432889417e-12,""
PJM,seasonal_naive,operator,364,-1.4610952712547869,-1.8203786101264914,-1.1401092658363055,7.545727580296598,4.497693418807257e-14,""
SOCO,seasonal_naive,operator,366,-4.481269420530617,-5.6716919198774045,-3.5598755599254344,8.557861364225957,1.1498051312063752e-17,""
SWPP,seasonal_naive,operator,366,-2.1678478759137567,-2.765019390923983,-1.687796649607262,8.399013310864836,4.5024578167248873e-17,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,seasonal_naive,operator,366,-3.6125539906455852,-4.762145000734956,-2.9150633159959107,7.918893786311547,2.3963293641880812e-15,""
CISO,lgbm_global,operator,366,0.4810845136009858,0.438227090617483,0.5260515230532519,-14.754871651817362,2.8623541263533057e-49,operator series has a growing midday bias (data_profile 5.1)
ERCO,lgbm_global,operator,366,-0.6886686051012894,-0.9747747423128521,-0.4575385920947208,4.449489678727203,8.60745660345408e-6,""
FPL,lgbm_global,operator,358,-0.27475952841746465,-0.38346736867566283,-0.17614414927011257,4.988014404937983,6.10030212248096e-7,""
ISNE,lgbm_global,operator,366,-1.1884271157482686,-1.3557413883716718,-1.028045160101133,14.222772942604415,6.617777698822207e-46,""
MISO,lgbm_global,operator,366,0.15389462584488667,-0.0031723585143315896,0.28126121448340674,-1.863187973327201,0.06243582434919071,""
NYIS,lgbm_global,operator,366,-0.33065746683863595,-0.47613986319686097,-0.1914726485693702,4.463065057219874,8.079550852212941e-6,""
PJM,lgbm_global,operator,364,0.15995595714162592,0.027700560003196924,0.27916895441439593,-2.3200659578423872,0.020337309541851294,""
SOCO,lgbm_global,operator,366,-1.5495437642210321,-2.1641365241447765,-1.0274056271467666,5.107976404654808,3.256273012900991e-7,""
SWPP,lgbm_global,operator,366,-0.32788234732748656,-0.564088564004627,-0.1433037511456086,3.0183243576591283,0.0025417669456612377,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,lgbm_global,operator,366,-0.8202020495494415,-1.3365586535125693,-0.5379214497904878,3.992617000266185,0.00006534807136982356,""
CISO,nhits,operator,366,0.26932197374083056,0.21237827237873086,0.3326786435542429,-7.725165755063855,1.1170788741049199e-14,operator series has a growing midday bias (data_profile 5.1)
ERCO,nhits,operator,366,-0.9668046583670815,-1.3394008279880734,-0.6931531288258627,5.40066764477407,6.639333194244948e-8,""
FPL,nhits,operator,358,-0.8300137244166235,-1.0071720403141498,-0.7004867632294999,11.292328870972122,1.4319154799063732e-29,""
ISNE,nhits,operator,366,-1.746424041376407,-1.980284356568297,-1.5372985366054093,16.58551221574113,8.870616273162616e-62,""
MISO,nhits,operator,366,-0.023787174873181716,-0.24618687395349706,0.10227059590683375,0.26358900151304115,0.7920966344127167,""
NYIS,nhits,operator,366,-0.7749395549746385,-0.9762105271830814,-0.5832150122117629,7.269320131689229,3.613012481152719e-13,""
PJM,nhits,operator,364,-0.07084361253602234,-0.23790931744681526,0.052133578225944194,0.8759050092962926,0.3810816760868451,""
SOCO,nhits,operator,366,-1.9210489515388733,-2.3770090334742378,-1.5440196025266313,8.832557166476196,1.0230940551592488e-18,""
SWPP,nhits,operator,366,-0.48820040223735495,-0.7760502737641612,-0.28271101157202283,3.9439822951710655,0.0000801395772839239,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,nhits,operator,366,-1.3380920451331133,-1.8575045963224928,-1.0180678635979272,6.295041990377078,3.0731665784644173e-10,""
CISO,ridge,operator,366,0.27693711100997453,0.20144244452490834,0.357028158861462,-5.998523034801645,1.99120277851498e-9,operator series has a growing midday bias (data_profile 5.1)
ERCO,ridge,operator,366,-1.2442438666690294,-1.5441039298157553,-0.9693591869964835,7.379441552221599,1.5895484185318884e-13,""
FPL,ridge,operator,358,-0.7773871490479873,-1.044535091102817,-0.6060745927343597,7.619109458720256,2.554317964523896e-14,""
ISNE,ridge,operator,366,-1.8192981990544497,-2.039113232276289,-1.5973959164464506,15.701436936525447,1.4785467924397655e-55,""
MISO,ridge,operator,366,-0.35662049795304007,-0.558352398082833,-0.20450454587086292,4.010532060129806,0.00006058207313308986,""
NYIS,ridge,operator,366,-0.8630413951030229,-1.0833815056160978,-0.6698916815253328,8.882115973969348,6.560039040737512e-19,""
PJM,ridge,operator,364,-0.44203723555088703,-0.6078792024259895,-0.3192365912562382,5.970717973936209,2.3621176128177564e-9,""
SOCO,ridge,operator,366,-2.667458642105047,-3.4006407442628936,-2.1251624997936878,8.633891583501017,5.9299206682080146e-18,""
SWPP,ridge,operator,366,-0.9751599726830942,-1.2667807610471515,-0.7444922527057306,7.64775089098006,2.0452493417328693e-14,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,ridge,operator,366,-1.9810034885064884,-2.6657458895653603,-1.5897008560728176,7.150901486851621,8.620984516684272e-13,""
CISO,seasonal_naive,operator_debiased,366,-1.59684415230863,-1.9326764438064574,-1.2579540135441827,7.758730616310582,8.578364126918751e-15,""
ERCO,seasonal_naive,operator_debiased,366,-2.459328593661723,-3.003507679134938,-1.9526939842323652,8.67632568847782,4.0876048354983004e-18,""
FPL,seasonal_naive,operator_debiased,358,-2.796678845802266,-3.311938945162472,-2.4148362042093185,14.189763255852071,1.0601602865174509e-45,""
ISNE,seasonal_naive,operator_debiased,366,-4.661627720519684,-5.41836043657987,-3.9302638233233353,10.143641113747877,3.5366610886610034e-24,""
MISO,seasonal_naive,operator_debiased,366,-2.920599868180169,-3.57149032460537,-2.4168483622339125,8.625725980919546,6.368734457489341e-18,""
NYIS,seasonal_naive,operator_debiased,366,-3.874823854472708,-4.654764041596683,-3.1115538296377947,8.300232067412052,1.0390822348785025e-16,""
PJM,seasonal_naive,operator_debiased,364,-3.273439798366832,-3.8366515723937114,-2.763866656612674,9.63290044817267,5.80668646090416e-22,""
SOCO,seasonal_naive,operator_debiased,366,-9.758124946533842,-12.137484993649453,-7.743784630452976,9.57013192310735,1.0676934748534757e-21,""
SWPP,seasonal_naive,operator_debiased,366,-2.1962844720183794,-2.7911168073914543,-1.7056605349864329,8.561258887246105,1.1164169542144173e-17,""
TVA,seasonal_naive,operator_debiased,366,-3.536724813256611,-4.6175332412563534,-2.828617008763288,7.8486173637699235,4.206488635360958e-15,""
CISO,lgbm_global,operator_debiased,366,-0.19505187504547195,-0.2740333226158262,-0.12180028980266774,5.009866145271297,5.44679060361523e-7,""
ERCO,lgbm_global,operator_debiased,366,-0.7284771754693657,-0.9821174358020077,-0.5118262040574675,4.818313192781713,1.447769876911013e-6,""
FPL,lgbm_global,operator_debiased,358,-0.8298184424112534,-0.9919416790142004,-0.708903456229943,11.874128870034044,1.6130560325941474e-32,""
ISNE,lgbm_global,operator_debiased,366,-1.7895187244561686,-1.994559966436922,-1.5863440101655462,16.363464596580208,3.487119163959849e-60,""
MISO,lgbm_global,operator_debiased,366,-0.4734140940453784,-0.6756587887889111,-0.31255103471593254,4.424063467893615,9.686154393339942e-6,""
NYIS,lgbm_global,operator_debiased,366,-0.9947579092554106,-1.1626591424440997,-0.8532993295753016,11.324185788322884,9.960001370833365e-30,""
PJM,lgbm_global,operator_debiased,364,-0.4586504175848718,-0.6890136523200631,-0.27296959660001163,4.095927945491553,0.00004204807079560799,""
SOCO,lgbm_global,operator_debiased,366,-4.004006967694514,-5.310246144187889,-2.9106677518193265,6.735732062526216,1.631066117452041e-11,""
SWPP,lgbm_global,operator_debiased,366,-0.33980225493179916,-0.5207840187833616,-0.17174933452608981,3.3828041531817865,0.000717497790151565,""
