model,hours,mae,rmse,mape,bias_pct
lgbm_global,87518,1278.9233318747372,2180.9576331055814,3.7738702788416987,0.8995282266068418
lgbm_global+cqr,87518,1278.9233318747372,2180.9576331055814,3.7738702788416987,0.8995282266068418
nhits,87518,1584.9746700544817,2656.569938370419,4.751979521727776,0.10667468984360204
nhits+cqr,87518,1584.9746700544817,2656.569938370419,4.751979521727776,0.10667468984360204
operator,87518,1146.3355652551475,1887.5648218100102,3.0562920910063136,-0.5453972380603851
operator_debiased,87518,758.5339980669614,1265.1413617125597,2.0608101721841208,-0.01578823899921919
ridge,87518,1928.4351504406225,3126.6850812606685,5.518723403530708,0.904070861546168
ridge+cqr,87518,1928.4351504406225,3126.6850812606685,5.518723403530708,0.904070861546168
seasonal_naive,87518,3098.0899472108595,5165.21109925504,8.633777746027153,0.5613494114948231
seasonal_naive+cqr,87518,3098.0899472108595,5165.21109925504,8.633777746027153,0.5613494114948231
