ba_code,target_day,model,hours,mae,rmse,mape,bias_pct
CISO,2026-09-24,lgbm_live,24,2969.9691,3425.5145,9.1767,-8.9743
CISO,2026-09-24,operator,24,1980.6250,2642.0400,6.2788,-3.8523
ERCO,2026-09-24,lgbm_live,24,3707.1749,4571.9296,5.0614,-2.6316
ERCO,2026-09-24,operator,24,701.7500,862.1824,1.0582,-1.0282
FPL,2026-09-24,lgbm_live,24,2523.1148,2877.9654,12.1675,-12.1675
FPL,2026-09-24,operator,24,823.4167,1089.0081,4.0267,-4.0074
ISNE,2026-09-24,lgbm_live,24,2081.4352,2338.3090,21.0313,21.0313
ISNE,2026-09-24,operator,24,257.8333,344.5744,2.7330,-2.3547
MISO,2026-09-24,lgbm_live,24,7390.9941,7467.0120,9.7443,9.7443
MISO,2026-09-24,operator,24,1340.6667,1531.0325,1.7116,1.6244
NYIS,2026-09-24,lgbm_live,24,2865.3697,3041.6181,20.8050,20.8050
NYIS,2026-09-24,operator,24,248.9167,282.0129,1.7336,-1.7336
PJM,2026-09-24,lgbm_live,24,6457.6537,7354.9805,7.4897,7.4897
PJM,2026-09-24,operator,24,2147.6667,2622.4350,2.5789,0.3633
SOCO,2026-09-24,lgbm_live,24,5102.1201,5463.0612,19.7873,19.7873
SOCO,2026-09-24,operator,24,2099.9583,2706.7282,7.9164,6.9663
SWPP,2026-09-24,lgbm_live,24,3557.4908,3596.8399,10.3856,10.3856
SWPP,2026-09-24,operator,24,3512.6250,3606.4192,10.0615,10.0615
TVA,2026-09-24,lgbm_live,24,5135.8289,5212.3066,27.4743,27.4743
TVA,2026-09-24,operator,24,428.3333,543.7205,2.1874,0.8228
