ba_code,model,hours,mae,rmse,mape,bias_pct,days,late_hours
CISO,lgbm_live,48,3364.7012,3889.1545,10.3880,-10.2867,2,0
CISO,operator,48,2127.8125,2927.1790,6.5802,-3.4846,2,0
ERCO,lgbm_live,48,3300.9808,4042.2450,4.6259,-1.6696,2,0
ERCO,operator,48,667.2708,816.9698,0.9912,-0.5708,2,0
FPL,lgbm_live,48,1992.4783,2403.6195,9.7614,-9.7614,2,0
FPL,operator,48,698.7292,923.7048,3.5246,-3.2192,2,0
ISNE,lgbm_live,47,1508.9865,1795.1587,14.7628,14.7628,2,0
ISNE,operator,47,249.8723,347.1391,2.5221,-2.0745,2,0
MISO,lgbm_live,48,5488.5906,5917.7265,7.3385,7.3385,2,0
MISO,operator,48,1563.0833,1749.8248,2.0307,1.9871,2,0
NYIS,lgbm_live,48,2435.1725,2606.7577,17.6437,17.6437,2,0
NYIS,operator,48,290.3542,318.9634,2.0444,-2.0444,2,0
PJM,lgbm_live,48,8879.7199,9621.6392,10.4468,10.4468,2,0
PJM,operator,48,2069.8333,2504.9809,2.4978,0.3115,2,0
SOCO,lgbm_live,47,5626.4095,5858.5566,22.5985,22.5985,2,0
SOCO,operator,47,1609.3191,2236.5037,6.2006,5.6824,2,0
SWPP,lgbm_live,48,3622.7410,3657.8856,10.6838,10.6838,2,0
SWPP,operator,48,3691.3750,3757.5990,10.7807,10.7807,2,0
TVA,lgbm_live,48,4708.7242,4782.5925,25.7149,25.7149,2,0
TVA,operator,48,325.5208,431.1980,1.6990,0.6119,2,0
