ba_code,city,city_slug,latitude,longitude,population,weight
PJM,Chicago,chicago,41.88,-87.63,9620000,0.32489
PJM,Washington,washington,38.91,-77.04,6390000,0.215805
PJM,Philadelphia,philadelphia,39.95,-75.17,6250000,0.211077
PJM,Baltimore,baltimore,39.29,-76.61,2840000,0.095914
PJM,Pittsburgh,pittsburgh,40.44,-80.0,2370000,0.080041
PJM,Columbus,columbus,39.96,-83.0,2140000,0.072273
MISO,Detroit,detroit,42.33,-83.05,4390000,0.276972
MISO,Minneapolis,minneapolis,44.98,-93.27,3690000,0.232808
MISO,St. Louis,st-louis,38.63,-90.2,2820000,0.177918
MISO,Indianapolis,indianapolis,39.77,-86.16,2110000,0.133123
MISO,Milwaukee,milwaukee,43.04,-87.91,1570000,0.099054
MISO,New Orleans,new-orleans,29.95,-90.07,1270000,0.080126
ERCO,Dallas-Fort Worth,dallas-fort-worth,32.78,-96.8,7640000,0.389796
ERCO,Houston,houston,29.76,-95.37,7120000,0.363265
ERCO,San Antonio,san-antonio,29.42,-98.49,2560000,0.130612
ERCO,Austin,austin,30.27,-97.74,2280000,0.116327
SWPP,Kansas City,kansas-city,39.1,-94.58,2190000,0.34984
SWPP,Oklahoma City,oklahoma-city,35.47,-97.52,1430000,0.228435
SWPP,Tulsa,tulsa,36.15,-95.99,1020000,0.162939
SWPP,Omaha,omaha,41.26,-95.93,970000,0.154952
SWPP,Wichita,wichita,37.69,-97.34,650000,0.103834
SOCO,Atlanta,atlanta,33.75,-84.39,6090000,0.757463
SOCO,Birmingham,birmingham,33.52,-86.8,1120000,0.139303
SOCO,Mobile,mobile,30.69,-88.04,430000,0.053483
SOCO,Savannah,savannah,32.08,-81.09,400000,0.049751
CISO,Los Angeles,los-angeles,34.05,-118.24,13200000,0.516432
CISO,San Francisco,san-francisco,37.77,-122.42,4750000,0.185837
CISO,Riverside,riverside,33.95,-117.4,4600000,0.179969
CISO,San Jose,san-jose,37.34,-121.89,2000000,0.078247
CISO,Fresno,fresno,36.74,-119.79,1010000,0.039515
TVA,Nashville,nashville,36.16,-86.78,1990000,0.378327
TVA,Memphis,memphis,35.15,-90.05,1340000,0.254753
TVA,Knoxville,knoxville,35.96,-83.92,880000,0.1673
TVA,Chattanooga,chattanooga,35.05,-85.31,560000,0.106464
TVA,Huntsville,huntsville,34.73,-86.59,490000,0.093156
NYIS,New York,new-york,40.71,-74.01,20100000,0.840301
NYIS,Buffalo,buffalo,42.89,-78.88,1170000,0.048913
NYIS,Rochester,rochester,43.16,-77.61,1090000,0.045569
NYIS,Albany,albany,42.65,-73.76,900000,0.037625
NYIS,Syracuse,syracuse,43.05,-76.15,660000,0.027592
FPL,Miami,miami,25.76,-80.19,6140000,0.730952
FPL,Sarasota,sarasota,27.34,-82.53,830000,0.09881
FPL,Cape Coral,cape-coral,26.64,-81.87,760000,0.090476
FPL,Daytona Beach,daytona-beach,29.21,-81.02,670000,0.079762
ISNE,Boston,boston,42.36,-71.06,4940000,0.527778
ISNE,Providence,providence,41.82,-71.41,1680000,0.179487
ISNE,Hartford,hartford,41.76,-72.67,1210000,0.129274
ISNE,Worcester,worcester,42.26,-71.8,980000,0.104701
ISNE,Portland,portland,43.66,-70.26,550000,0.058761
